feature,gain,split
loc_school_elementary_district_geoid,5.66525199240233e+16,2572
loc_school_secondary_district_geoid,2.011169109649408e+16,1386
char_bldg_sf,1.708180302331904e+16,5178
acs5_median_household_owner_occupied_value,1.3526666994997248e+16,1830
loc_census_tract_geoid,1.3053039061174272e+16,3491
feat_log_bldg_sf,9185248501803008.0,2044
feat_total_baths,5552492697821184.0,1352
char_yrblt,2642479679377408.0,3302
prox_lake_michigan_dist_ft,2178848964845568.0,1378
prox_num_foreclosure_per_1000_pin_past_5_years,2129373733160960.0,2454
time_sale_day,1976847313702912.0,3939
char_land_sf,1427681290366976.0,3439
loc_longitude,1147705099808768.0,1043
prox_airport_dnl_total,1072580309078016.0,1229
char_fbath,1054077388802048.0,568
char_apts,954408627449856.0,568
acs5_median_income_per_capita_past_year,900766768199680.0,1520
prox_nearest_university_dist_ft,882510091653120.0,1691
feat_rooms_per_sf,855866844256256.0,3335
loc_latitude,803055708964864.0,872
loc_tax_municipality_name,749547717861376.0,750
feat_bldg_to_land_ratio,673685978306560.0,2637
acs5_median_income_household_past_year,636551332878336.0,1377
feat_log_land_sf,636120039749632.0,1651
feat_age,624994271952896.0,2765
char_bsmt_fin,601999180472320.0,578
prox_nearest_golf_course_dist_ft,581897125545984.0,2051
prox_nearest_road_arterial_dist_ft,578416696631296.0,2473
char_air,563166992394240.0,524
time_sale_year,516733759985664.0,784
prox_nearest_new_construction_dist_ft,508335181056000.0,2668
char_rooms,484838923094016.0,1386
acs5_percent_age_children,483160699920384.0,1250
acs5_percent_income_household_received_snap_past_year,440252238542848.0,1112
feat_age_squared,440077509396480.0,1507
loc_access_cmap_walk_nta_score,403570585100288.0,681
shp_parcel_mrr_side_ratio,382077797431296.0,2083
prox_nearest_stadium_dist_ft,376852986654720.0,988
prox_nearest_cta_stop_dist_ft,376663611744256.0,1262
shp_parcel_edge_len_ft_sd,374764576288768.0,2135
prox_nearest_metra_stop_dist_ft,352432380479488.0,1608
prox_nearest_metra_route_dist_ft,351904601745408.0,1572
time_sale_day_of_year,336776308467712.0,2807
prox_nearest_major_road_dist_ft,329507582711808.0,1935
prox_nearest_cta_route_dist_ft,324238419705856.0,1167
shp_parcel_centroid_dist_ft_sd,323434869575680.0,2093
char_frpl,312766864228352.0,526
char_gar1_size,304929339353088.0,830
prox_nearest_hospital_dist_ft,304554880362496.0,1734
time_sale_post_covid,303658612043776.0,196
acs5_median_household_renter_occupied_gross_rent,300605773316096.0,1560
char_beds,294970078898176.0,961
prox_nearest_road_collector_dist_ft,287298933628928.0,1995
other_tax_bill_rate,282266051678208.0,1032
prox_nearest_railroad_dist_ft,280595325048832.0,1855
prox_nearest_secondary_road_dist_ft,249653124976640.0,1934
loc_access_cmap_walk_total_score,245147072493568.0,994
acs5_percent_education_bachelor,233035742134272.0,1348
char_bsmt,232708127469568.0,538
prox_nearest_vacant_land_dist_ft,232547645313024.0,1891
prox_nearest_park_dist_ft,229974174668800.0,2100
prox_nearest_grocery_store_dist_ft,229785082816512.0,1845
prox_nearest_cemetery_dist_ft,211328583806976.0,1305
shp_parcel_mrr_area_ratio,207442324633600.0,1809
prox_num_pin_in_half_mile,201382004699136.0,1322
prox_nearest_bike_trail_dist_ft,199779596820480.0,1389
prox_nearest_water_dist_ft,197796244727808.0,1469
prox_nearest_road_highway_daily_traffic,196850971469824.0,1571
prox_nearest_road_highway_dist_ft,196749776001024.0,1248
acs5_median_household_total_occupied_year_built,192289926170624.0,1404
acs5_percent_education_graduate,190002279806976.0,1188
shp_parcel_interior_angle_sd,189749063927808.0,1502
acs5_count_sex_total,187367264163840.0,930
time_sale_day_of_month,178495929882624.0,1967
acs5_percent_age_senior,173390787946496.0,952
acs5_percent_education_high_school,171485915738112.0,1176
acs5_percent_employment_unemployed,170315195256832.0,1297
acs5_percent_mobility_moved_from_other_state,166641274085376.0,1279
prox_nearest_road_arterial_daily_traffic,162199057647616.0,1251
prox_nearest_road_collector_daily_traffic,156437250322432.0,1308
prox_num_bus_stop_in_half_mile,154015145052160.0,1135
acs5_percent_household_family_married,150586057234432.0,1063
acs5_percent_mobility_moved_in_county,149933729501184.0,1091
acs5_percent_household_total_occupied_w_sel_cond,148790691784704.0,1061
acs5_percent_mobility_no_move,145990329724928.0,1022
char_type_resd,143396031479808.0,546
prox_avg_school_rating_in_half_mile,138196613666816.0,784
acs5_percent_income_below_poverty_level,138088440520704.0,1134
acs5_percent_household_nonfamily_alone,121204722810880.0,1103
acs5_median_age_total,115171175022592.0,987
acs5_percent_household_owner_occupied,101812361609216.0,862
char_ext_wall,97144677191680.0,422
char_tp_dsgn,96570395172864.0,418
time_sale_month_of_year,95825168658432.0,797
char_ncu,71501399070720.0,250
char_attic_type,71391960463360.0,442
time_sale_day_of_week,63657898653696.0,753
prox_nearest_road_collector_speed_limit,57052432482304.0,376
prox_num_school_in_half_mile,54441706940416.0,441
char_roof_cnst,48410138658816.0,288
time_sale_quarter_of_year,40145458190336.0,277
char_gar1_att,37869728245760.0,102
prox_num_school_with_rating_in_half_mile,36844801531904.0,195
char_hbath,34869525827584.0,270
prox_nearest_road_arterial_speed_limit,33725379141632.0,156
char_attic_fnsh,32623042557952.0,265
char_porch,31292080242688.0,257
loc_env_flood_fs_factor,30662725345280.0,277
char_gar1_cnst,28652012800000.0,211
prox_nearest_road_highway_speed_limit,26597571610624.0,190
prox_nearest_road_arterial_lanes,25960757915648.0,153
prox_nearest_road_highway_surface_type,19392597442560.0,136
prox_nearest_road_highway_lanes,15497093734400.0,113
shp_parcel_num_vertices,11026426396672.0,113
char_heat,10874358505472.0,133
feat_large_lot,4955368691712.0,18
prox_nearest_road_collector_surface_type,3735096401920.0,45
prox_nearest_road_collector_lanes,3173689724928.0,33
prox_nearest_road_arterial_surface_type,3098326988800.0,41
